tick_id,log_time,source,player_id,server_time,server_x,server_y,server_vx,server_vy,client_x,client_y,snapshot_age,is_turning,is_accelerating,speed,prev_speed,speed_delta
23,2026-07-07 15:39:45.245164,server,0,1783406385.2451649,0.0,0.0,0,0,,,,False,False,0.0,0.0,0.0
23,2026-07-07 15:39:45.245164,server,1,1783406385.2451649,10.0,0.0,0,0,,,,False,False,0.0,0.0,0.0
23,2026-07-07 15:39:45.248163,client,0,1783406385.247165,0.0,0.0,0,0,0.0,0.0,0.0009999275207519531,False,False,0.0,0.0,0.0
23,2026-07-07 15:39:45.249163,client,0,1783406385.247165,0.0,0.0,0,0,0.0,0.0,0.0009999275207519531,False,False,0.0,0.0,0.0
23,2026-07-07 15:39:45.249163,client,1,1783406385.247165,10.0,0.0,0,0,10.0,0.0,0.0009999275207519531,False,False,0.0,0.0,0.0
23,2026-07-07 15:39:45.249163,client,1,1783406385.247165,10.0,0.0,0,0,10.0,0.0,0.0009999275207519531,False,False,0.0,0.0,0.0
23,2026-07-07 15:39:45.250164,client,bullet_1_1783406385057,1783406385.247165,-19.991117871068713,-0.7299649605720628,-149.95558935534356,-3.649824802860314,-19.991117871068713,-0.7299649605720628,0.0009999275207519531,False,False,150.0,150.0,0.0
23,2026-07-07 15:39:45.250164,client,bullet_1_1783406385057,1783406385.247165,-19.991117871068713,-0.7299649605720628,-149.95558935534356,-3.649824802860314,-19.991117871068713,-0.7299649605720628,0.0009999275207519531,False,False,150.0,150.0,0.0
24,2026-07-07 15:39:45.310172,server,0,1783406385.310172,0.0,0.0,0,0,,,,False,False,0.0,0.0,0.0
24,2026-07-07 15:39:45.311178,server,1,1783406385.3111784,10.0,0.0,0,0,,,,False,False,0.0,0.0,0.0
24,2026-07-07 15:39:45.313176,client,0,1783406385.3121777,0.0,0.0,0,0,0.0,0.0,0.0009992122650146484,False,False,0.0,0.0,0.0
24,2026-07-07 15:39:45.313176,client,1,1783406385.3121777,10.0,0.0,0,0,10.0,0.0,0.0009992122650146484,False,False,0.0,0.0,0.0
24,2026-07-07 15:39:45.314176,client,bullet_1_1783406385057,1783406385.3121777,-27.48889733883589,-0.9124562007150785,-149.95558935534356,-3.649824802860314,-27.48889733883589,-0.9124562007150785,0.0009992122650146484,False,False,150.0,150.0,0.0
24,2026-07-07 15:39:45.314176,client,bullet_1_1783406385310,1783406385.3121777,2.5257575654601734,0.621047526139648,-149.48484869079653,12.420950522792959,2.5257575654601734,0.621047526139648,0.0009992122650146484,False,False,150.0,150.0,0.0
24,2026-07-07 15:39:45.325177,client,0,1783406385.3241844,0.0,0.0,0,0,0.0,0.0,0.013005971908569336,False,False,0.0,0.0,0.0
24,2026-07-07 15:39:45.325177,client,1,1783406385.3241844,10.0,0.0,0,0,10.0,0.0,0.013005971908569336,False,False,0.0,0.0,0.0
24,2026-07-07 15:39:45.326414,client,bullet_1_1783406385057,1783406385.3241844,-27.48889733883589,-0.9124562007150785,-149.95558935534356,-3.649824802860314,-27.48889733883589,-0.9124562007150785,0.013005971908569336,False,False,150.0,150.0,0.0
24,2026-07-07 15:39:45.326414,client,bullet_1_1783406385310,1783406385.3241844,2.5257575654601734,0.621047526139648,-149.48484869079653,12.420950522792959,2.5257575654601734,0.621047526139648,0.013005971908569336,False,False,150.0,150.0,0.0
25,2026-07-07 15:39:45.371413,server,0,1783406385.371413,0.0,0.0,0,0,,,,False,False,0.0,0.0,0.0
25,2026-07-07 15:39:45.371413,server,1,1783406385.371413,10.0,0.0,0,0,,,,False,False,0.0,0.0,0.0
25,2026-07-07 15:39:45.374415,client,0,1783406385.3734133,0.0,0.0,0,0,0.0,0.0,0.0009982585906982422,False,False,0.0,0.0,0.0
25,2026-07-07 15:39:45.374415,client,1,1783406385.3734133,10.0,0.0,0,0,10.0,0.0,0.0009982585906982422,False,False,0.0,0.0,0.0
25,2026-07-07 15:39:45.375414,client,bullet_1_1783406385057,1783406385.3734133,-34.98667680660307,-1.0949474408580941,-149.95558935534356,-3.649824802860314,-34.98667680660307,-1.0949474408580941,0.0009982585906982422,False,False,150.0,150.0,0.0
