packet_id,event_type,sender,receiver,send_time,arrive_time,delay_ms,jitter_ms,lost,reordered,message
8,world_state_receive,server,client,1783406384.995813,1783406384.9968107,0.000997781753540039,,False,False,"{""type"": ""world_state"", ""tick"": 19, ""state"": {""0"": {""position"": [0.0, 0.0], ""velocity"": [0, 0], ""damage"": 0, ""creattime"": 0.1, ""health"": 100}, ""1"": {""position"": [10.0, 0.0], ""velocity"": [0, 0], ""damage"": 0, ""creattime"": 0.1, ""health"": 100}}, ""player_id"": 1, ""dead_reckoning"": false, ""reconciliation"": false, ""latency_ms"": 0.0, ""server_send_time"": 1783406384.995813, ""packet_id"": 8, ""packet_type"": ""world_state""}"
5,input_send,client,server,1783406385.0018096,,3.6805048521689727,3.6805048521689727,False,False,"{""action"": ""fire"", ""damage"": 10, ""bullet_speed"": 150, ""angle"": 181.39426798457885, ""client_send_time"": 1783406385.0018096, ""target_id"": ""0"", ""target_position"": [0.0, 0.0], ""packet_id"": 5, ""packet_type"": ""input""}"
5,input_arrival,client,server,1783406385.0018096,1783406385.0108147,0.009005069732666016,,False,False,"{""action"": ""fire"", ""damage"": 10, ""bullet_speed"": 150, ""angle"": 181.39426798457885, ""client_send_time"": 1783406385.0018096, ""target_id"": ""0"", ""target_position"": [0.0, 0.0], ""packet_id"": 5, ""packet_type"": ""input"", ""sender_id"": 1}"
10,world_state_send,server,client,1783406385.0589619,,5.307006934535481,5.307006934535481,False,False,"{""type"": ""world_state"", ""tick"": 20, ""state"": {""0"": {""position"": [0.0, 0.0], ""velocity"": [0, 0], ""damage"": 0, ""creattime"": 0.15000000000000002, ""health"": 90}, ""1"": {""position"": [10.0, 0.0], ""velocity"": [0, 0], ""damage"": 0, ""creattime"": 0.15000000000000002, ""health"": 100}, ""bullet_1_1783406385057"": {""position"": [2.5022205322328217, -0.1824912401430157], ""velocity"": [-149.95558935534356, -3.649824802860314], ""damage"": 10, ""creattime"": 0.05}}, ""player_id"": 0, ""dead_reckoning"": false, ""reconciliation"": false, ""latency_ms"": 0.0, ""server_send_time"": 1783406385.0589619, ""packet_id"": 10, ""packet_type"": ""world_state""}"
11,world_state_send,server,client,1783406385.0589619,,7.516167225124018,7.516167225124018,False,False,"{""type"": ""world_state"", ""tick"": 20, ""state"": {""0"": {""position"": [0.0, 0.0], ""velocity"": [0, 0], ""damage"": 0, ""creattime"": 0.15000000000000002, ""health"": 90}, ""1"": {""position"": [10.0, 0.0], ""velocity"": [0, 0], ""damage"": 0, ""creattime"": 0.15000000000000002, ""health"": 100}, ""bullet_1_1783406385057"": {""position"": [2.5022205322328217, -0.1824912401430157], ""velocity"": [-149.95558935534356, -3.649824802860314], ""damage"": 10, ""creattime"": 0.05}}, ""player_id"": 1, ""dead_reckoning"": false, ""reconciliation"": false, ""latency_ms"": 0.0, ""server_send_time"": 1783406385.0589619, ""packet_id"": 11, ""packet_type"": ""world_state""}"
10,world_state_receive,server,client,1783406385.0589619,1783406385.072969,0.014007091522216797,,False,False,"{""type"": ""world_state"", ""tick"": 20, ""state"": {""0"": {""position"": [0.0, 0.0], ""velocity"": [0, 0], ""damage"": 0, ""creattime"": 0.15000000000000002, ""health"": 90}, ""1"": {""position"": [10.0, 0.0], ""velocity"": [0, 0], ""damage"": 0, ""creattime"": 0.15000000000000002, ""health"": 100}, ""bullet_1_1783406385057"": {""position"": [2.5022205322328217, -0.1824912401430157], ""velocity"": [-149.95558935534356, -3.649824802860314], ""damage"": 10, ""creattime"": 0.05}}, ""player_id"": 0, ""dead_reckoning"": false, ""reconciliation"": false, ""latency_ms"": 0.0, ""server_send_time"": 1783406385.0589619, ""packet_id"": 10, ""packet_type"": ""world_state""}"
11,world_state_receive,server,client,1783406385.0589619,1783406385.072969,0.014007091522216797,,False,False,"{""type"": ""world_state"", ""tick"": 20, ""state"": {""0"": {""position"": [0.0, 0.0], ""velocity"": [0, 0], ""damage"": 0, ""creattime"": 0.15000000000000002, ""health"": 90}, ""1"": {""position"": [10.0, 0.0], ""velocity"": [0, 0], ""damage"": 0, ""creattime"": 0.15000000000000002, ""health"": 100}, ""bullet_1_1783406385057"": {""position"": [2.5022205322328217, -0.1824912401430157], ""velocity"": [-149.95558935534356, -3.649824802860314], ""damage"": 10, ""creattime"": 0.05}}, ""player_id"": 1, ""dead_reckoning"": false, ""reconciliation"": false, ""latency_ms"": 0.0, ""server_send_time"": 1783406385.0589619, ""packet_id"": 11, ""packet_type"": ""world_state""}"
12,world_state_send,server,client,1783406385.1209655,,5.620630056428839,5.620630056428839,False,False,"{""type"": ""world_state"", ""tick"": 21, ""state"": {""0"": {""position"": [0.0, 0.0], ""velocity"": [0, 0], ""damage"": 0, ""creattime"": 0.2, ""health"": 90}, ""1"": {""position"": [10.0, 0.0], ""velocity"": [0, 0], ""damage"": 0, ""creattime"": 0.2, ""health"": 100}, ""bullet_1_1783406385057"": {""position"": [-4.995558935534357, -0.3649824802860314], ""velocity"": [-149.95558935534356, -3.649824802860314], ""damage"": 10, ""creattime"": 0.1}}, ""player_id"": 0, ""dead_reckoning"": false, ""reconciliation"": false, ""latency_ms"": 0.0, ""server_send_time"": 1783406385.1209655, ""packet_id"": 12, ""packet_type"": ""world_state""}"
13,world_state_send,server,client,1783406385.1209655,,6.395183675728063,6.395183675728063,False,False,"{""type"": ""world_state"", ""tick"": 21, ""state"": {""0"": {""position"": [0.0, 0.0], ""velocity"": [0, 0], ""damage"": 0, ""creattime"": 0.2, ""health"": 90}, ""1"": {""position"": [10.0, 0.0], ""velocity"": [0, 0], ""damage"": 0, ""creattime"": 0.2, ""health"": 100}, ""bullet_1_1783406385057"": {""position"": [-4.995558935534357, -0.3649824802860314], ""velocity"": [-149.95558935534356, -3.649824802860314], ""damage"": 10, ""creattime"": 0.1}}, ""player_id"": 1, ""dead_reckoning"": false, ""reconciliation"": false, ""latency_ms"": 0.0, ""server_send_time"": 1783406385.1209655, ""packet_id"": 13, ""packet_type"": ""world_state""}"
12,world_state_receive,server,client,1783406385.1209655,1783406385.1359916,0.015026092529296875,,False,False,"{""type"": ""world_state"", ""tick"": 21, ""state"": {""0"": {""position"": [0.0, 0.0], ""velocity"": [0, 0], ""damage"": 0, ""creattime"": 0.2, ""health"": 90}, ""1"": {""position"": [10.0, 0.0], ""velocity"": [0, 0], ""damage"": 0, ""creattime"": 0.2, ""health"": 100}, ""bullet_1_1783406385057"": {""position"": [-4.995558935534357, -0.3649824802860314], ""velocity"": [-149.95558935534356, -3.649824802860314], ""damage"": 10, ""creattime"": 0.1}}, ""player_id"": 0, ""dead_reckoning"": false, ""reconciliation"": false, ""latency_ms"": 0.0, ""server_send_time"": 1783406385.1209655, ""packet_id"": 12, ""packet_type"": ""world_state""}"
